Date,USDJPY BGN Curncy  (R1),SPX Index  (R2),NKY Index  (R4),DAX Index  (R4),UKX Index  (R3),MXWO Index  (R2),AS51 Index  (R3)
10/1/2009,89.61,1029.85,9978.6396,5554.5498,5047.81,1102.04,4701.1
10/2/2009,89.81,1025.21,9731.8701,5467.8999,4988.7,1088.9,4601.7
10/5/2009,89.54,1040.46,9674.4902,5508.8501,5024.33,1099.44,4573.3
10/6/2009,88.83,1054.72,9691.7998,5657.6401,5137.98,1121.63,4591.6
10/7/2009,88.61,1057.58,9799.5996,5640.75,5108.9,1122.97,4695.7
10/8/2009,88.39,1065.48,9832.4697,5716.54,5154.64,1137.59,4768.6
10/9/2009,89.79,1071.49,10016.3896,5711.8799,5161.87,1139.84,4752.9
10/12/2009,89.83,1076.19,,5783.23,5210.17,1145.93,4739.8
10/13/2009,89.71,1073.19,10076.5596,5714.3101,5154.15,1142.15,4785.7
10/14/2009,89.45,1092.02,10060.21,5854.1401,5256.1,1162.57,4831.1
10/15/2009,90.56,1096.56,10238.6504,5830.77,5222.95,1166.65,4859.9
10/16/2009,90.89,1087.68,10257.5596,5743.3901,5190.24,1156.2,4836.4
10/19/2009,90.55,1097.91,10236.5098,5852.5601,5281.54,1170.64,4792.8
10/20/2009,90.78,1091.06,10336.8398,5811.77,5243.4,1166.03,4846.2
10/21/2009,90.97,1081.4,10333.3896,5833.4902,5257.85,1163.52,4838.6
10/22/2009,91.3,1092.91,10267.1699,5762.9302,5207.36,1163.5,4812.8
10/23/2009,92.06,1079.6,10282.9902,5740.25,5242.57,1153.42,4859.4
10/26/2009,92.19,1066.95,10362.6201,5642.1602,5191.74,1139.87,4830.3
10/27/2009,91.8,1063.41,10212.46,5635.02,5200.97,1131.44,4753.5
10/28/2009,90.76,1042.63,10075.0498,5496.27,5080.42,1108.97,4685.1
10/29/2009,91.41,1066.11,9891.0996,5587.4502,5137.72,1127.81,4574.7
10/30/2009,90.09,1036.19,10034.7402,5414.96,5044.55,1106.17,4643.2
11/2/2009,90.21,1042.88,9802.9502,5430.8198,5104.5,1109.24,4540.4
11/3/2009,90.34,1045.41,,5353.3501,5037.21,1104.09,4531.5
11/4/2009,90.73,1046.5,9844.3096,5444.23,5107.89,1115.33,4540.1
11/5/2009,90.71,1066.63,9717.4404,5480.9199,5125.64,1128.34,4508
11/6/2009,89.88,1069.3,9789.3496,5488.25,5142.72,1132.19,4594
11/9/2009,89.93,1093.08,9808.9902,5619.7202,5235.18,1157.71,4674.9
11/10/2009,89.81,1093.01,9870.7305,5613.2002,5230.55,1156.84,4733.6
11/11/2009,89.87,1098.51,9871.6797,5668.3501,5266.75,1162.16,4757
11/12/2009,90.37,1087.24,9804.4902,5663.96,5276.5,1152.5,4747.9
11/13/2009,89.66,1093.48,9770.3096,5686.8301,5296.38,1158.26,4706.4
11/16/2009,89.06,1109.3,9791.1797,5804.8198,5382.67,1175.4,4755.2
11/17/2009,89.25,1110.32,9729.9297,5778.4302,5345.93,1169.56,4729.4
11/18/2009,89.32,1109.8,9676.7998,5787.6099,5342.13,1171.54,4739
11/19/2009,88.98,1094.9,9549.4697,5702.1802,5267.7,1151.98,4749.2
11/20/2009,88.89,1091.38,9497.6797,5663.1499,5251.41,1145.72,4685.8
11/23/2009,88.97,1106.24,,5801.48,5355.5,1165.83,4717
11/24/2009,88.5,1105.65,9401.5801,5769.3101,5323.96,1160.14,4685
11/25/2009,87.35,1110.63,9441.6396,5803.02,5364.81,1170.71,4722.2
11/26/2009,86.59,,9383.2402,5614.1699,5194.13,1154.87,4708.6
11/27/2009,86.53,1091.49,9081.5195,5685.6099,5245.73,1144.58,4572.1
11/30/2009,86.41,1095.63,9345.5498,5625.9502,5190.68,1149.01,4701.3
12/1/2009,86.68,1108.86,9572.2002,5776.6099,5312.17,1171.94,4719
12/2/2009,87.39,1109.24,9608.9404,5781.6802,5327.39,1173.86,4762.4
